codigo_ibge, anomes_s, qtd_cestas_alim_entr_fam_indigenas, qtd_cestas_alim_entr_fam_quilombolas, qtd_cestas_alim_entr_fam_extrativistas, qtd_cestas_alim_entr_fam_pescadores, qtd_cestas_alim_entr_fam_atend_emergencial, qtd_cestas_alim_entr_fam_assentados, qtd_cestas_alim_entr_fam_catadores, qtd_cestas_alim_entr_fam_ciganas, qtd_cestas_alim_entr_fam_rural, qtd_total_cestas_alim_entr
         43,   202505,                               5301,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5301.0
         43,   202504,                               2131,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2131.0
         43,   202503,                               6629,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     6629.0
         43,   202502,                               2598,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     2598.0
         43,   202501,                                917,                                     ,                                       ,                                    ,                                         42,                                    ,                                  0,                                 ,                              0,                      959.0
         50,   202512,                               2793,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     2793.0
         50,   202511,                               9627,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     9627.0
         50,   202510,                               6208,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     6208.0
         50,   202509,                               5805,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5805.0
         50,   202508,                               5870,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5870.0
         50,   202507,                               6269,                                     ,                                       ,                                    ,                                         30,                                    ,                                   ,                                 ,                               ,                     6299.0
         50,   202506,                               5913,                                     ,                                       ,                                    ,                                         36,                                    ,                                   ,                                 ,                               ,                     5949.0
         50,   202505,                               5744,                                     ,                                       ,                                    ,                                           ,                                1193,                                   ,                                 ,                               ,                     6937.0
         50,   202504,                               6228,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     6228.0
         50,   202503,                               5823,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     5823.0
         50,   202502,                               8429,                                     ,                                       ,                                    ,                                           ,                                   0,                                  0,                                0,                              0,                     8429.0
         50,   202501,                               2465,                                     ,                                       ,                                    ,                                           ,                                    ,                                  0,                                 ,                              0,                     2465.0
         51,   202512,                               1572,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1572.0
         51,   202511,                               1842,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1842.0
         51,   202509,                               4110,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     4110.0
         51,   202507,                               1542,                                  130,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1672.0
         51,   202506,                                364,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      364.0
         51,   202505,                                296,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      296.0
         51,   202504,                                   ,                                  380,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                      380.0
         51,   202503,                               7768,                                  500,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     8268.0
         51,   202502,                               1000,                                     ,                                       ,                                    ,                                        603,                                   0,                                  0,                                0,                              0,                     1603.0
         51,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         52,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         52,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         53,   202512,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202511,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202510,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202509,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202508,                                400,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      610.0
         53,   202507,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202506,                                   ,                                     ,                                       ,                                    ,                                        210,                                    ,                                   ,                                 ,                               ,                      210.0
         53,   202503,                               1000,                                     ,                                       ,                                    ,                                           ,                                    ,                                   ,                                 ,                               ,                     1000.0
         53,   202502,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
         53,   202501,                                  0,                                    0,                                      0,                                   0,                                          0,                                   0,                                  0,                                0,                              0,                        0.0
